Plot,Environment,EntryID,height_start,surv,fire
1,Savanna,13,60,0,1
1,Savanna,14,28,0,1
1,Savanna,15,33,0,1
1,Savanna,16,10,0,1
1,Savanna,17,14,0,1
1,Savanna,18,6,0,1
1,Savanna,19,13,0,1
1,Savanna,20,12.5,0,1
1,Savanna,21,15,0,1
1,Savanna,22,9,0,1
1,Savanna,23,15,0,1
1,Savanna,24,30,0,1
4,Shrub,191,20,1,1
4,Shrub,192,4,0,1
4,Shrub,193,36,1,1
4,Shrub,194,40,1,1
4,Shrub,195,47,1,1
4,Shrub,196,106,1,1
4,Shrub,197,74,0,1
4,Shrub,198,17,0,1
4,Shrub,199,16,1,1
4,Shrub,200,195,0,1
4,Shrub,201,21,0,1
4,Shrub,202,128,1,1
4,Shrub,203,47,0,0
4,Shrub,204,45.6,0,0
4,Shrub,205,20.4,0,0
4,Shrub,206,67.8,1,0
4,Shrub,207,19,1,0
4,Shrub,208,NA,0,0
4,Shrub,209,NA,0,0
4,Shrub,210,NA,0,0
4,Shrub,211,NA,0,0
2,Shrub,229,222,0,1
2,Shrub,230,40,1,0
3,Shrub,243,140,0,1
3,Shrub,244,190,1,1
3,Shrub,245,71,0,1
3,Shrub,246,87,1,1
3,Shrub,247,68,1,1
3,Shrub,248,71,1,1
3,Shrub,249,154,0,1
3,Shrub,250,85,0,1
3,Shrub,252,26,0,0
5,Shrub,258,38,1,1
5,Shrub,259,48,0,1
5,Shrub,260,10,0,1
5,Shrub,261,34,0,1
5,Shrub,262,24,1,1
5,Shrub,263,25,0,1
5,Shrub,264,77,0,1
5,Shrub,265,34,0,1
5,Shrub,266,110,1,1
5,Shrub,267,34,0,1
5,Shrub,268,48,0,1
5,Shrub,269,32,0,1
5,Shrub,270,31,0,1
5,Shrub,271,55,0,1
5,Shrub,272,89,1,1
5,Shrub,273,36,0,1
5,Shrub,274,103,0,1
5,Shrub,275,43,0,1
5,Shrub,276,67,0,1
5,Shrub,277,78,0,1
5,Shrub,278,68,0,1
5,Shrub,279,87,1,1
5,Shrub,280,65,0,1
5,Shrub,281,72,0,1
5,Shrub,282,61,0,1
5,Shrub,283,13,0,1
5,Shrub,284,31,0,1
5,Shrub,285,21,0,1
5,Shrub,286,16,0,0
5,Shrub,287,24,0,0
5,Shrub,288,15,1,0
5,Shrub,289,9,1,0
5,Shrub,290,23,1,0
5,Shrub,291,11,0,0
5,Shrub,292,10,1,0
5,Shrub,293,14,0,0
5,Shrub,294,25,1,0
5,Shrub,295,27,1,0
5,Shrub,296,10,1,0
6,Savanna,306,57,0,1
